,Rank,Country,Name,Publisher,Category,Rating,Price,Rating_count,Date
92,18,Russia,BRIO World — Железная дорога,Filimundus AB,Education,4.0,449.0,17,2024-12-31
93,19,Russia,Изобретения Петсона 2,Filimundus AB,Education,4.0,249.0,4,2024-12-31
94,20,Russia,Video Touch - Дикие Животные,SoundTouch Interactive LTD,Education,5.0,249.0,3,2024-12-31
95,21,Russia,Video Touch - Музыка,SoundTouch Interactive LTD,Education,5.0,249.0,1,2024-12-31
96,22,Russia,Четвертое измерение,Lunar Skydiving LLC,Education,4.91,249.0,624,2024-12-31
97,23,Russia,Video Touch - Дикие Птицы,SoundTouch Interactive LTD,Education,5.0,249.0,2,2024-12-31
98,24,Russia,Русско-таджикский и Таджикско-русский словари,Andrey Fetisov,Education,3.67,99.0,3,2024-12-31
99,25,Russia,Arduino Programming Pro,ALG Software Lab,Education,5.0,449.0,1,2024-12-31
100,1,Algeria,Youtify + for Spotify Premium,"KISSAPP, S.L.",Entertainment,4.67,1.99,3,2024-12-30
101,2,Algeria,Akinator VIP,Elokence,Entertainment,0.0,3.99,0,2024-12-30
102,3,Algeria,VLC Streamer Pro,Hobbyist Software Limited,Entertainment,5.0,7.99,2,2024-12-30
103,4,Algeria,737 Flight Simulator,Justyna Zablocka,Entertainment,0.0,1.99,0,2024-12-30
104,5,Algeria,Little Kitten-Kids Pet Cat Sim,Squeakosaurus ug & co. kg,Entertainment,5.0,5.99,1,2024-12-30
105,6,Algeria,AVPlayer,EPLAYWORKS,Entertainment,0.0,2.99,0,2024-12-30
106,7,Algeria,OPlayer - video player,"Suzhou Totoro Network Technology Co., Ltd.",Entertainment,5.0,2.99,1,2024-12-30
107,8,Algeria,لقطات متستر,OTTO SRLS UNIPERSONALE,Entertainment,5.0,0.99,1,2024-12-30
108,9,Algeria,Let's create! Pottery HD,Infinite Dreams Inc.,Entertainment,2.0,4.99,1,2024-12-30
109,10,Algeria,Tv-Box,Ahmet Kiremitci,Entertainment,0.0,5.99,0,2024-12-30
110,11,Algeria,"Blackbox Pro for Dreambox, Vu+, Xtrend, TVHeadend and Others",Marcel Stegmann,Entertainment,0.0,4.99,0,2024-12-30
111,12,Algeria,1500 Ringtones Unlimited - Download the best iPhone Ringtones,Mobgen Apps Inc,Entertainment,0.0,0.99,0,2024-12-30
112,13,Algeria,Beardify - Beard Photo Booth,Apptly LLC,Entertainment,0.0,0.99,0,2024-12-30
113,14,Algeria,Baldify - Go Bald,Apptly LLC,Entertainment,0.0,0.99,0,2024-12-30
114,15,Algeria,Toca Hair Salon Me,Toca Boca AB,Entertainment,0.0,4.99,0,2024-12-30
115,16,Algeria,GSE SMART IPTV PRO,droidvision,Entertainment,0.0,2.99,0,2024-12-30
116,17,Algeria,StbEmuTV (Pro),Junaid Muhammad,Entertainment,0.0,8.99,0,2024-12-30
117,18,Algeria,Flashing Police Lights,Georgi Zlatinov,Entertainment,0.0,0.99,0,2024-12-30
118,19,Algeria,Oldify - Old Face App,Apptly LLC,Entertainment,0.0,0.99,0,2024-12-30
119,20,Algeria,Blower,Qneo,Entertainment,5.0,1.99,1,2024-12-30
120,21,Algeria,iSTB,Nihal Ahmed,Entertainment,0.0,14.99,0,2024-12-30
121,22,Algeria,nPlayer,Newin Inc.,Entertainment,0.0,4.99,0,2024-12-30
122,23,Algeria,My PlayHome School,PlayHome Software Ltd,Entertainment,0.0,2.99,0,2024-12-30
123,24,Algeria,XLR8,"2XL Games, Inc.",Entertainment,0.0,4.99,0,2024-12-30
124,25,Algeria,8player Pro,8soft,Entertainment,0.0,4.99,0,2024-12-30
125,1,Algeria,Youtify + for Spotify Premium,"KISSAPP, S.L.",Entertainment,4.67,1.99,3,2024-12-31
126,2,Algeria,Akinator VIP,Elokence,Entertainment,0.0,3.99,0,2024-12-31
127,3,Algeria,VLC Streamer Pro,Hobbyist Software Limited,Entertainment,5.0,7.99,2,2024-12-31
128,4,Algeria,737 Flight Simulator,Justyna Zablocka,Entertainment,0.0,1.99,0,2024-12-31
129,5,Algeria,Little Kitten-Kids Pet Cat Sim,Squeakosaurus ug & co. kg,Entertainment,5.0,5.99,1,2024-12-31
130,6,Algeria,AVPlayer,EPLAYWORKS,Entertainment,0.0,2.99,0,2024-12-31
131,7,Algeria,OPlayer - video player,"Suzhou Totoro Network Technology Co., Ltd.",Entertainment,5.0,2.99,1,2024-12-31
132,8,Algeria,لقطات متستر,OTTO SRLS UNIPERSONALE,Entertainment,5.0,0.99,1,2024-12-31
133,9,Algeria,Let's create! Pottery HD,Infinite Dreams Inc.,Entertainment,2.0,4.99,1,2024-12-31
134,10,Algeria,Tv-Box,Ahmet Kiremitci,Entertainment,0.0,5.99,0,2024-12-31
135,11,Algeria,"Blackbox Pro for Dreambox, Vu+, Xtrend, TVHeadend and Others",Marcel Stegmann,Entertainment,0.0,4.99,0,2024-12-31
136,12,Algeria,1500 Ringtones Unlimited - Download the best iPhone Ringtones,Mobgen Apps Inc,Entertainment,0.0,0.99,0,2024-12-31
137,13,Algeria,Beardify - Beard Photo Booth,Apptly LLC,Entertainment,0.0,0.99,0,2024-12-31
138,14,Algeria,Baldify - Go Bald,Apptly LLC,Entertainment,0.0,0.99,0,2024-12-31
139,15,Algeria,Toca Hair Salon Me,Toca Boca AB,Entertainment,0.0,4.99,0,2024-12-31
140,16,Algeria,GSE SMART IPTV PRO,droidvision,Entertainment,0.0,2.99,0,2024-12-31
141,17,Algeria,StbEmuTV (Pro),Junaid Muhammad,Entertainment,0.0,8.99,0,2024-12-31
142,18,Algeria,Flashing Police Lights,Georgi Zlatinov,Entertainment,0.0,0.99,0,2024-12-31
143,19,Algeria,Oldify - Old Face App,Apptly LLC,Entertainment,0.0,0.99,0,2024-12-31
144,20,Algeria,Blower,Qneo,Entertainment,5.0,1.99,1,2024-12-31
145,21,Algeria,iSTB,Nihal Ahmed,Entertainment,0.0,14.99,0,2024-12-31
146,22,Algeria,nPlayer,Newin Inc.,Entertainment,0.0,4.99,0,2024-12-31
147,23,Algeria,My PlayHome School,PlayHome Software Ltd,Entertainment,0.0,2.99,0,2024-12-31
148,24,Algeria,XLR8,"2XL Games, Inc.",Entertainment,0.0,4.99,0,2024-12-31
149,25,Algeria,8player Pro,8soft,Entertainment,0.0,4.99,0,2024-12-31
150,1,Algeria,تعلم اللغة الانجليزية,mawuood alghzali,Education,0.0,2.99,0,2024-12-30
151,2,Algeria,حفظ القرآن - إصدارة كاملة,BIGITEC GmbH,Education,4.2,5.99,5,2024-12-30
152,3,Algeria,SkyView®,Terminal Eleven LLC,Education,0.0,2.99,0,2024-12-30
153,4,Algeria,تعلم اللغة الإسبانية من الصفر,mawuood alghzali,Education,0.0,1.99,0,2024-12-30
154,5,Algeria,AnkiMobile Flashcards,Ankitects Pty Ltd,Education,0.0,24.99,0,2024-12-30
155,6,Algeria,Coda Game - Make your Own Games,Filimundus AB,Education,0.0,2.99,0,2024-12-30
